"Codigo";"Descripcion";"Clasificador";"Indice_IPC";"v_m_IPC";"v_i_a_IPC";"Region";"Periodo_codificado"
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;100.5008;0.50;0.00;GBA;Enero - 2017
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;101.3123;1.30;0.00;Pampeana;Enero - 2017
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;100.7754;0.80;0.00;Noreste;Enero - 2017
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;101.3444;1.30;0.00;Noroeste;Enero - 2017
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;101.3446;1.30;0.00;Cuyo;Enero - 2017
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;101.1901;1.20;0.00;Patagonia;Enero - 2017
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;100.925;0.90;0.00;Nacional;Enero - 2017
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;97.8719;-2.10;0.00;GBA;Enero - 2017
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;99.6481;-0.40;0.00;Pampeana;Enero - 2017
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;100.2847;0.30;0.00;Noreste;Enero - 2017
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;100.483;0.50;0.00;Noroeste;Enero - 2017
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;99.8901;-0.10;0.00;Cuyo;Enero - 2017
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;100.9137;0.90;0.00;Patagonia;Enero - 2017
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;99.0066;-1.00;0.00;Nacional;Enero - 2017
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;99.9812;0.00;0.00;GBA;Enero - 2017
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;102.225;2.20;0.00;Pampeana;Enero - 2017
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;101.394;1.40;0.00;Noreste;Enero - 2017
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;101.5904;1.60;0.00;Noroeste;Enero - 2017
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;102.9333;2.90;0.00;Cuyo;Enero - 2017
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;110.3184;10.30;0.00;Patagonia;Enero - 2017
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;101.4784;1.50;0.00;Nacional;Enero - 2017
05;Equipamiento y mantenimiento del hogar;Nivel general y divisiones COICOP;100.8651;0.90;0.00;GBA;Enero - 2017
05;Equipamiento y mantenimiento del hogar;Nivel general y divisiones COICOP;100.8374;0.80;0.00;Pampeana;Enero - 2017
05;Equipamiento y mantenimiento del hogar;Nivel general y divisiones COICOP;101.4132;1.40;0.00;Noreste;Enero - 2017
05;Equipamiento y mantenimiento del hogar;Nivel general y divisiones COICOP;100.4121;0.40;0.00;Noroeste;Enero - 2017
05;Equipamiento y mantenimiento del hogar;Nivel general y divisiones COICOP;101.2098;1.20;0.00;Cuyo;Enero - 2017
05;Equipamiento y mantenimiento del hogar;Nivel general y divisiones COICOP;101.0684;1.10;0.00;Patagonia;Enero - 2017
05;Equipamiento y mantenimiento del hogar;Nivel general y divisiones COICOP;100.8773;0.90;0.00;Nacional;Enero - 2017
06;Salud;Nivel general y divisiones COICOP;101.3559;1.40;0.00;GBA;Enero - 2017
06;Salud;Nivel general y divisiones COICOP;103.1538;3.20;0.00;Pampeana;Enero - 2017
06;Salud;Nivel general y divisiones COICOP;102.5966;2.60;0.00;Noreste;Enero - 2017
06;Salud;Nivel general y divisiones COICOP;102.7132;2.70;0.00;Noroeste;Enero - 2017
06;Salud;Nivel general y divisiones COICOP;103.1395;3.10;0.00;Cuyo;Enero - 2017
06;Salud;Nivel general y divisiones COICOP;104.7253;4.70;0.00;Patagonia;Enero - 2017
06;Salud;Nivel general y divisiones COICOP;102.3501;2.40;0.00;Nacional;Enero - 2017
07;Transporte;Nivel general y divisiones COICOP;101.7583;1.80;0.00;GBA;Enero - 2017
07;Transporte;Nivel general y divisiones COICOP;102.4339;2.40;0.00;Pampeana;Enero - 2017
07;Transporte;Nivel general y divisiones COICOP;100.3463;0.30;0.00;Noreste;Enero - 2017
07;Transporte;Nivel general y divisiones COICOP;102.928;2.90;0.00;Noroeste;Enero - 2017
07;Transporte;Nivel general y divisiones COICOP;102.6271;2.60;0.00;Cuyo;Enero - 2017
07;Transporte;Nivel general y divisiones COICOP;102.4768;2.50;0.00;Patagonia;Enero - 2017
07;Transporte;Nivel general y divisiones COICOP;102.0755;2.10;0.00;Nacional;Enero - 2017
08;Comunicación;Nivel general y divisiones COICOP;103.8174;3.80;0.00;GBA;Enero - 2017
08;Comunicación;Nivel general y divisiones COICOP;102.0782;2.10;0.00;Pampeana;Enero - 2017
08;Comunicación;Nivel general y divisiones COICOP;102.7252;2.70;0.00;Noreste;Enero - 2017
08;Comunicación;Nivel general y divisiones COICOP;104.1098;4.10;0.00;Noroeste;Enero - 2017
08;Comunicación;Nivel general y divisiones COICOP;102.7973;2.80;0.00;Cuyo;Enero - 2017
08;Comunicación;Nivel general y divisiones COICOP;101.6649;1.70;0.00;Patagonia;Enero - 2017
08;Comunicación;Nivel general y divisiones COICOP;103.0516;3.10;0.00;Nacional;Enero - 2017
09;Recreación y cultura;Nivel general y divisiones COICOP;103.243;3.20;0.00;GBA;Enero - 2017
09;Recreación y cultura;Nivel general y divisiones COICOP;103.5814;3.60;0.00;Pampeana;Enero - 2017
09;Recreación y cultura;Nivel general y divisiones COICOP;103.633;3.60;0.00;Noreste;Enero - 2017
09;Recreación y cultura;Nivel general y divisiones COICOP;103.4112;3.40;0.00;Noroeste;Enero - 2017
09;Recreación y cultura;Nivel general y divisiones COICOP;101.494;1.50;0.00;Cuyo;Enero - 2017
09;Recreación y cultura;Nivel general y divisiones COICOP;100.9612;1.00;0.00;Patagonia;Enero - 2017
09;Recreación y cultura;Nivel general y divisiones COICOP;103.1906;3.20;0.00;Nacional;Enero - 2017
10;Educación;Nivel general y divisiones COICOP;100.4869;0.50;0.00;GBA;Enero - 2017
10;Educación;Nivel general y divisiones COICOP;100.3682;0.40;0.00;Pampeana;Enero - 2017
10;Educación;Nivel general y divisiones COICOP;101.6601;1.70;0.00;Noreste;Enero - 2017
10;Educación;Nivel general y divisiones COICOP;100.5123;0.50;0.00;Noroeste;Enero - 2017
10;Educación;Nivel general y divisiones COICOP;100;0.00;0.00;Cuyo;Enero - 2017
10;Educación;Nivel general y divisiones COICOP;106.9917;7.00;0.00;Patagonia;Enero - 2017
10;Educación;Nivel general y divisiones COICOP;100.7952;0.80;0.00;Nacional;Enero - 2017
11;Restaurantes y hoteles;Nivel general y divisiones COICOP;103.2868;3.30;0.00;GBA;Enero - 2017
11;Restaurantes y hoteles;Nivel general y divisiones COICOP;103.1259;3.10;0.00;Pampeana;Enero - 2017
11;Restaurantes y hoteles;Nivel general y divisiones COICOP;104.2939;4.30;0.00;Noreste;Enero - 2017
11;Restaurantes y hoteles;Nivel general y divisiones COICOP;102.48;2.50;0.00;Noroeste;Enero - 2017
11;Restaurantes y hoteles;Nivel general y divisiones COICOP;101.8587;1.90;0.00;Cuyo;Enero - 2017
11;Restaurantes y hoteles;Nivel general y divisiones COICOP;102.2654;2.30;0.00;Patagonia;Enero - 2017
11;Restaurantes y hoteles;Nivel general y divisiones COICOP;103.1002;3.10;0.00;Nacional;Enero - 2017
12;Bienes y servicios varios;Nivel general y divisiones COICOP;102.117;2.10;0.00;GBA;Enero - 2017
12;Bienes y servicios varios;Nivel general y divisiones COICOP;101.5745;1.60;0.00;Pampeana;Enero - 2017
12;Bienes y servicios varios;Nivel general y divisiones COICOP;102.0562;2.10;0.00;Noreste;Enero - 2017
12;Bienes y servicios varios;Nivel general y divisiones COICOP;102.0385;2.00;0.00;Noroeste;Enero - 2017
12;Bienes y servicios varios;Nivel general y divisiones COICOP;102.0274;2.00;0.00;Cuyo;Enero - 2017
12;Bienes y servicios varios;Nivel general y divisiones COICOP;102.4839;2.50;0.00;Patagonia;Enero - 2017
12;Bienes y servicios varios;Nivel general y divisiones COICOP;101.9345;1.90;0.00;Nacional;Enero - 2017
Estacional;Na;Categorias;101.5562;1.60;0.00;GBA;Enero - 2017
Estacional;Na;Categorias;102.0904;2.10;0.00;Pampeana;Enero - 2017
Estacional;Na;Categorias;102.4771;2.50;0.00;Noreste;Enero - 2017
Estacional;Na;Categorias;101.5611;1.60;0.00;Noroeste;Enero - 2017
Estacional;Na;Categorias;100.6608;0.70;0.00;Cuyo;Enero - 2017
Estacional;Na;Categorias;100.6843;0.70;0.00;Patagonia;Enero - 2017
Estacional;Na;Categorias;101.6969;1.70;0.00;Nacional;Enero - 2017
Núcleo;Na;Categorias;101.3389;1.30;0.00;GBA;Enero - 2017
Núcleo;Na;Categorias;101.6093;1.60;0.00;Pampeana;Enero - 2017
Núcleo;Na;Categorias;101.8639;1.90;0.00;Noreste;Enero - 2017
Núcleo;Na;Categorias;101.4339;1.40;0.00;Noroeste;Enero - 2017
Núcleo;Na;Categorias;101.7235;1.70;0.00;Cuyo;Enero - 2017
Núcleo;Na;Categorias;101.8374;1.80;0.00;Patagonia;Enero - 2017
Núcleo;Na;Categorias;101.5039;1.50;0.00;Nacional;Enero - 2017
Regulados;Na;Categorias;101.1274;1.10;0.00;GBA;Enero - 2017
Regulados;Na;Categorias;102.2331;2.20;0.00;Pampeana;Enero - 2017
Regulados;Na;Categorias;100.3476;0.30;0.00;Noreste;Enero - 2017
Regulados;Na;Categorias;102.2777;2.30;0.00;Noroeste;Enero - 2017
Regulados;Na;Categorias;102.2456;2.20;0.00;Cuyo;Enero - 2017
